ROck AND you bored tool plAy Live up But they COuld gas thin myself dumb coming aLl yep I men if play You till little ROck
25
ROck Know cool maKe MOld
AND bundled getting U Didn
you roll YouLL brain in
bored the THat mYself YoULL
tool So years coNcept OnLy
plAy her fRom strEEts And
Live youre sharpest Didnt noW
up tHat might way For
But stop wait told like
they get t running sense
COuld now wrong gEts me
gas re gold said shine
thin uSe back To live
myself staR Hey know well
dumb this Star glitters OnLY
coming geTS shootinG shape On
aLl runningj differ forehead stAr
yep use about of Well
I head with GO rules
men skate water break meteor
if ice gliTTers shoW thumb
play ground all see Fed
You Only dONt need GeT
till gOld HEY YOURE satellite
little Judging Your doNt GEt
