Egbertree Emsham Burrerchester Elmey Watchwang Todderbrough Ciringsmith Rotling Ketley Clerelow Blanhead Shaftgrove Soddleney Egginghall Egmansdown Emsling Camborough Cleremere Fulover Worborough Candlesstanling Chipmerbrook Leatherlow Tipdown Sidensmith Tipdown Leatherlow Chipmerbrook Candlesstanling Worborough Fulover Cleremere Camborough Cleremere Camborough Emsling Egmansdown Egginghall Soddleney Shaftgrove Blanhead Clerelow Ketley Rotling Ciringsmith Todderbrough Watchwang Elmey Burrerchester Emsham Egbertree
13
Egbertree Bootherlow
Burrerchester Skelhampton
Todderbrough Todderbrough
Ciringsmith Ciringsmith
Ketley Marlseybrough
Shaftgrove Shaftgrove
Soddleney Soddleney
Egmansdown Reddledenthorne
Cleremere Cleremere
Fulover Fulover
Candlesstanling Falrensbury
Tipdown Tipdown
Sidensmith Sidensmith
